"date","id","title","rubric","subrubric","publikations_status","primaryTenantCode","kanton"
2023-07-03,"6adbbfb7-e52e-40f8-ac6c-3f8bb15598f2","Löschung Röösli Kosmetika, Freienwil","HR","HR03","PUBLISHED","shab","AG"
2023-07-03,"07459c75-0bcf-4a9a-aa6a-9475d95b3c6c","Löschung Yves Baumgartner, La G'Art, Nyon","HR","HR03","PUBLISHED","shab","VD"
2023-07-03,"c6351199-11a7-4bc3-bb43-77e0634d25e3","Löschung Nutzfahrzeug-Garage Binz AG, Tafers","HR","HR03","PUBLISHED","shab","FR"
2023-07-03,"05c96f15-4038-4f6a-85de-b0dd950f9674","Löschung Lebenszeichen Jeannette Akermann, Teufen (AR)","HR","HR03","PUBLISHED","shab","AR"
2023-07-03,"36312124-7150-44de-9941-93f351fa69f0","Löschung Divus Clothing Barone, Möriken-Wildegg","HR","HR03","PUBLISHED","shab","AG"
2023-07-03,"364caee0-c2b5-4ee3-bea0-3a45c44c648f","Löschung Wettinger Isolierungen Aliti, Wettingen","HR","HR03","PUBLISHED","shab","AG"
2023-07-03,"ce7ca216-ef00-4a85-b32d-34a9b70f74e9","Löschung Mutausbruch KLG, Wil (SG)","HR","HR03","PUBLISHED","shab","SG"
2023-07-03,"ac21f743-dffc-4e4e-84dc-e84d925b36b8","Löschung Jochen Theodor Kulow, Au (SG)","HR","HR03","PUBLISHED","shab","SG"
2023-07-03,"ffde2ab7-fb3e-4d98-b226-7ff69c78b426","Löschung Brezelstand Take Away GmbH in Liquidation, Bern","HR","HR03","PUBLISHED","shab","BE"
2023-07-03,"b5478c36-384a-446c-872e-91d557a797f5","Löschung mundwerkstatt Kieferorthopädie Dr. Soares da Silva, Küssnacht (SZ)","HR","HR03","PUBLISHED","shab","SZ"
2023-07-03,"ac72665d-2e8f-4adf-bc37-9044550610eb","Löschung Swiss Premium Drinks GmbH, Lufingen","HR","HR03","PUBLISHED","shab","ZH"
2023-07-03,"70b284b2-26b7-4511-a262-703495e0280f","Löschung Werap AG, Bubikon","HR","HR03","PUBLISHED","shab","ZH"
2023-07-03,"0f97ee3f-89f1-498a-bba6-efb557cfdc7c","Löschung Brimar AG in Liquidation, Baar","HR","HR03","PUBLISHED","shab","ZG"
2023-07-03,"d5ff0d8a-9316-45a6-a9ef-27326d0aad6b","Löschung Otth's Güggeli, Sigriswil","HR","HR03","PUBLISHED","shab","BE"
2023-07-03,"bb1ddccf-d319-4d08-b452-c72a30aebc34","Löschung DR Cleanmaker GmbH, Horgen","HR","HR03","PUBLISHED","shab","ZH"
2023-07-03,"7340c634-0994-4956-a213-f1e98566194c","Löschung caraque gmbh, Zollikon","HR","HR03","PUBLISHED","shab","ZH"
2023-07-03,"f37e6b91-ca97-47f2-97a4-9bf2c9c84a22","Löschung Metzger Sanitär und Leitungsbau, Bäretswil","HR","HR03","PUBLISHED","shab","ZH"
2023-07-03,"72c6bc9f-7198-4987-8327-cbac83165f2f","Löschung Inter-Cosmetics, R. Ueltschi, Pfungen","HR","HR03","PUBLISHED","shab","ZH"
2023-07-03,"6089bff9-d999-4cdc-9716-fa4423a720e9","Neueintragung OK GENERALE Sàrl, Saxon","HR","HR01","PUBLISHED","shab","VS"
2023-07-03,"6a71f581-bf90-4238-80ce-20da5c4ea34d","Neueintragung Homely GmbH, Biberstein","HR","HR01","PUBLISHED","shab","AG"
2023-07-03,"783cb7f4-bb47-441e-b2e1-fd6621bc4a87","Neueintragung Cabinet médical A.I. Pop Sàrl, Troistorrents","HR","HR01","PUBLISHED","shab","VS"
2023-07-03,"fe247b3d-5e12-423e-be2f-5800f14f3479","Neueintragung Prieur Immo SA, Martigny","HR","HR01","PUBLISHED","shab","VS"
2023-07-03,"44e49eef-b5f0-4dbe-b84d-233a5c19f861","Neueintragung SiamShiva Thai Massages Sàrl, Nyon","HR","HR01","PUBLISHED","shab","VD"
2023-07-03,"a66406ef-3af5-460b-8af7-84bd763d74db","Neueintragung L'LEM.2 Sàrl, Rolle","HR","HR01","PUBLISHED","shab","VD"
2023-07-03,"9d697b77-f65a-4fac-998a-abf6badb667d","Neueintragung Raselli Gastronomia Sagl, Poschiavo","HR","HR01","PUBLISHED","shab","GR"
2023-07-03,"7429ab36-5f19-4634-9a23-1dbf230f7530","Neueintragung TAO Acupuncture Gauthier, Lausanne","HR","HR01","PUBLISHED","shab","VD"
2023-07-03,"bb8f90c8-df25-4ea4-a954-38294b8f931b","Neueintragung Kunz & Klar GmbH, Neuenkirch","HR","HR01","PUBLISHED","shab","LU"
