date,ch.kof.aiu.ng08.fx.q_ql_ass_bs.balance.d11,ch.kof.bau.ng08.fx.q_ql_ass_bs.balance.d11,ch.kof.bts_total.ng08.fx.q_ql_ass_bs.balance.d11,ch.kof.dhu.ng08.fx.q_ql_ass_bs.balance.d11,ch.kof.dlu.ng08.fx.q_ql_ass_bs.balance.d11,ch.kof.fvu.ng08.fx.q_ql_ass_bs.balance.d11,ch.kof.ggu.ng08.fx.q_ql_ass_bs.balance.d11,ch.kof.ghu.ng08.fx.q_ql_ass_bs.balance.d11,ch.kof.inu.ng08.fx.q_ql_ass_bs.balance.d11
2020-05,25.99,1.24,-19.18,-24.43,,25.91,,,-24.65
2020-06,25.78,3.64,-18.4,-4.34,,24.34,,,-26.51
2020-07,35.62,12.5,-9.67,3.76,-18.76,26.69,-66.61,-19.81,-22.93
2020-08,36.29,16.09,-8.13,14.82,,25.97,,,-20.08
2020-09,33.88,16.25,-7.71,13.46,,25.65,,,-17.54
2020-10,38.1,20.26,5.94,17.21,2.19,35.8,-49.68,0.28,-4.7
2020-11,40.96,21.66,4.99,13.74,,38.78,,,-10.44
2020-12,39.65,21.63,7.16,15.77,,38.79,,,-1.04
2021-01,40.35,23.47,1.09,13.88,-8.59,36.79,-73.14,-4.48,-3.87
2021-02,36.34,24.84,1.49,-0.69,,38.49,,,0.09
2021-03,42.55,29.63,3.35,8.74,,41.86,,,2.68
2021-04,44.8,32.14,11.56,19.4,-5.19,34.04,-71.8,23.93,19.9
2021-05,47.41,35.09,13.64,25.6,,40.54,,,23.5
2021-06,49.25,34.34,13.74,25.14,,39.02,,,24.81
2021-07,54,37.09,24.97,27.23,6.41,52.49,-39.59,50.16,30.13
2021-08,52.14,40.12,25.34,19.29,,51.94,,,33.02
2021-09,55.87,39.46,26.71,17.04,,64.08,,,33.31
2021-10,54.34,38.63,30.62,18.86,17.78,51.17,-10.45,57.41,29.6
2021-11,55.99,38.86,30.69,23.66,,47.06,,,30.89
2021-12,56.21,40.2,30.3,20.99,,47.41,,,29.1
2022-01,57.18,40.25,27.72,20.97,12.75,51.65,-23.98,50.32,29.25
2022-02,58.37,43.6,27.77,21.94,,49.03,,,29.68
2022-03,57.03,40.9,24.86,20.87,,27.13,,,29.09
2022-04,56.82,41.02,30.7,19.87,22.87,34.38,5,55.23,28.3
2022-05,56.2,41.39,30.82,16.79,,34.49,,,29.32
2022-06,52.27,40.48,32.06,19.82,,32.6,,,35.98
2022-07,50.72,43.1,30.11,4.78,22.94,26.91,28.12,52.02,31.86
2022-08,53.98,41.96,28.59,12.35,,28.51,,,22.69
2022-09,57.71,43.5,29.51,14.67,,35.3,,,22.01
2022-10,51.46,43.94,24.05,13.19,16.96,22.51,27.95,42.77,21.01
2022-11,49.12,44.23,23.11,10.13,,23.92,,,16.75
2022-12,52.98,46.72,24.12,14.3,,24.91,,,18.83
2023-01,54.56,48.23,29.58,16.19,20.08,33.51,29.72,48.17,29.43
2023-02,54.29,48.22,27.09,13.11,,36.1,,,17.29
2023-03,55.32,48.97,27.68,14.73,,45.05,,,14.43
2023-04,55.24,46.36,22.6,11.48,17.68,40.33,25.92,39.23,4.59
2023-05,49.76,41.28,20.14,7.81,,38.01,,,-2.58
2023-06,56.14,46.31,21.49,8.54,,41.55,,,-0.65
2023-07,54.74,41.72,17.21,11.28,16.17,41.26,25.25,20.78,-6.59
2023-08,55.43,42.94,17.95,11.16,,39.83,,,-2.83
2023-09,55.25,43.34,17.11,8.2,,40.11,,,-6.3
2023-10,57.31,43.51,13.71,6.96,14.98,45.7,15.76,15.33,-15.35
2023-11,51.33,41.89,14.8,8.82,,47.49,,,-10.91
2023-12,51.32,42.38,14.4,6,,49.17,,,-12.97
2024-01,51.2,41.49,13.11,5.16,16.93,48.58,14.65,9.85,-17.79
2024-02,51.82,40.58,13.84,6.67,,57.42,,,-19
2024-03,50.66,40.54,11.89,8.29,,47.95,,,-22.9
2024-04,48.62,39.33,11.84,7.49,18.13,46.49,4.6,-1.42,-17.03
2024-05,50.51,38.74,12.34,7.79,,49.34,,,-16.36
2024-06,49.49,38.53,10.42,3.99,,49.86,,,-23.81
